id,name,measurement_unit
1142,огурцы свежие,г
1143,огурцы соленые,г
1144,одуванчики,г
1145,окорок,г
1146,окорок варено-копченый,г
1147,окунь,г
1148,окунь красный филе,г
1149,окунь морской,г
1150,окунь морской филе,г
1151,окунь филе,г
1152,оленина,г
1153,оливки,г
1154,оливки без косточек,г
1155,оливки зеленые,по вкусу
1156,оливки зеленые консервированные,банка
1157,оливки каламата,г
1158,оливки консервированные,г
1159,"оливки, фаршированные анчоусами",г
1160,оливки черные,по вкусу
1161,оливковая паста,г
1162,оливковое масло,г
1163,оливковое масло Extra Virgin,г
1164,опунция плоды,г
1165,опята,по вкусу
1166,опята замороженные,г
1167,опята маринованные,г
1168,орегано,г
1169,орегано свежий,г
1170,орегано сушеный,г
1171,орехи,г
1172,орехи бразильские,г
1173,орехи макадамия,г
1174,орехи пекан,г
1175,орехи пинии,г
1176,ореховая крошка,стакан
1177,ореховая паста,шт.
1178,ореховое масло,ст. л.
1179,ореховый ликер,мл
1180,ореховый соус,ст. л.
1181,осетр,г
1182,осетрина холодного копчения,г
1183,осьминог,г
1184,осьминоги консервированные,г
1185,осьминоги мини,г
1186,отруби,г
1187,ошеек,г
1188,пагр,г
1189,пажитник,г
1190,пажитник семена,г
1191,палтус,г
1192,пальмовое масло,г
1193,пангасиус,г
1194,панеттоне,шт.
1195,Панифарин,г
1196,панчетта,г
1197,папайя,г
1198,папайя консервированная в собственном соку,г
1199,папоротник,г
1200,папоротник соленый,упаковка
1201,паппарделле,г
1202,паприка,г
1203,паприка копченая,ст. л.
1204,паприка красная,ст. л.
1205,паприка красная молотая,г
1206,паприка острая копченая,г
1207,паприка сладкая,г
1208,паприка сладкая копченая,г
1209,паприка сладкая хлопьями,ч. л.
1210,пармезан,г
1211,паста,г
1212,паста веджимайт,г
1213,паста тахини,г
1214,паста хариса,ст. л.
1215,пастернак,г
1216,пастила,г
1217,пастила виноградная,г
1218,патиссоны,г
1219,патока,г
1220,патока крахмальная,г
1221,патока черная (меласса),г
1222,пахта,г
1223,паштет,г
1224,пекарский порошок,г
1225,пекарский порошок,ч. л.
1226,пекорино,г
1227,пектин,г
1228,пеленгас,г
1229,пельмени,г
1230,пенне,г
1231,пенне ригате,г
1232,пеперончино,ч. л.
1233,пеперончино молотый,щепотка
1234,переводной лист для шоколада,шт.
1235,перепелки,тушка
1236,перец,г
1237,перец белый,г
1238,перец белый горошком,по вкусу
1239,перец белый молотый,г
1240,перец белый свежемолотый,ч. л.
1241,перец болгарский,г
1242,перец болгарский желтый,г
1243,перец болгарский зеленый,г
1244,перец болгарский красный,г
1245,перец горошком,г
1246,перец горошком смесь,г
1247,перец душистый,щепотка
1248,перец душистый горошком,г
1249,перец душистый молотый,г
1250,перец испанский острый,шт.
1251,перец кайенский,г
1252,перец кайенский красный,г
1253,перец кайенский молотый,щепотка
1254,перец красный,г
1255,перец красный горошком,г
1256,перец красный жгучий,г
1257,перец красный молотый,г
1258,перец красный острый,г
1259,перец красный острый молотый,по вкусу
1260,перец красный хлопьями,щепотка
1261,перец лимонный,г
1262,перец маринованный,г
1263,перец острый,г
1264,перец острый зеленый,шт.
1265,перец острый молотый,щепотка
1266,перец падрон,г
1267,перец пеперони,г
1268,перец пеперони красный,шт.
1269,перец розовый горошком,г
1270,перец свежемолотый смесь,г
1271,перец сенегальский,по вкусу
1272,перец сладкий,г
1273,перец сладкий желтый,г
1274,перец сладкий зеленый,г
1275,перец сладкий красный,г
1276,перец сладкий красный маринованный,шт.
1277,перец сладкий красный молотый,г
1278,перец сладкий оранжевый,г
1279,перец сладкий сушеный,г
1280,перец сычуаньский,г
1281,перец халапеньо,г
1282,перец халапеньо маринованный,шт.
1283,перец черный,ст. л.
1284,перец черный горошком,по вкусу
1285,перец черный молотый,г
1286,перец черный свежемолотый,г
1287,перец чили,г
1288,перец чили зеленый,стручок
1289,перец чили красный,стручок
1290,перец чили маринованный,по вкусу
1291,перец чили молотый,г
1292,перец чили сухой,ст. л.
1293,перец чили хлопьями,по вкусу
1294,перец ямайский,г
1295,перловая крупа,г
1296,перловая мука,г
1297,персики,г
1298,персики консервированные,г
1299,персики сушеные,горсть
1300,персиковое пюре,г
1301,персиковый джем,г
1302,персиковый мармелад,ст. л.
1303,персиковый сироп,мл
1304,персиковый сок,г
1305,перцовая паста,ч. л.
1306,петрушка,г
1307,петрушка зелень,г
1308,петрушка итальянская,пучок
1309,петрушка корень,г
1310,петрушка рубленая,г
1311,петрушка сушеная,г
1312,печень,г
1313,печенье,по вкусу
1314,печенье Oreo,г
1315,печенье Амаретти,г
1316,печенье бисквитное,г
1317,печенье галетное,шт.
1318,печенье «Дамские пальчики»,г
1319,печенье песочное,г
1320,печенье рассыпчатое,г
1321,печенье Савоярди,г
1322,печенье сахарное,г
1323,печенье сладкое,г
1324,печенье сухое,г
1325,печенье шоколадное,г
1326,печенье Юбилейное молочное,г
1327,пиво,г
1328,пиво имбирное,мл
1329,пиво нефильтрованное,г
1330,пиво светлое,г
1331,пиво темное,банка
1332,пикша,шт.
1333,питы,по вкусу
1334,повидло,г
1335,подсолнечное масло,г
1336,подсолнечные семечки,г
1337,полба,г
1338,полба недозрелая,г
1339,полента,по вкусу
1340,полента быстрого приготовления,стакан
1341,помело,г
1342,помидоры,г
1343,помидоры бурые,г
1344,помидоры вяленые,по вкусу
1345,помидоры вяленые в масле,г
1346,помидоры желтые,шт.
1347,помидоры зеленые,кг
1348,помидоры консервированные,г
1349,помидоры консервированные в собственном соку,г
1350,помидоры консервированные в собственном соку с базиликом,г
1351,помидоры протертые пассата,г
1352,помидоры соленые,шт.
1353,помидоры сушеные хлопьями,г
1354,помидоры черри,г
1355,помидоры черри желтые,г
1356,попкорн,г
1357,поросенок,кг
1358,портвейн,г
1359,портобелло,г
1360,портулак,г
1361,посыпка кондитерская,по вкусу
1362,почки,г
1363,приправа 4 перца,г
1364,приправа 5 специй (five spice),ч. л.
1365,приправа для баранины,ст. л.
1366,приправа для картофеля,г
1367,приправа для курицы,г
1368,приправа для макарон,по вкусу
1369,приправа для маринования свинины,по вкусу
1370,приправа для морепродуктов,по вкусу
1371,приправа для мяса,г
1372,приправа для паэльи,по вкусу
1373,приправа для пиццы,ч. л.
1374,приправа для плова,г
1375,приправа для птицы,ст. л.
1376,приправа для рыбы,г
1377,приправа для салатов,по вкусу
1378,приправа заатар,ч. л.
1379,приправа креольская,ст. л.
1380,приправа с сушеными грибами,ч. л.
1381,приправы,г
1382,прованские травы,г
1383,проволоне,г
1384,просекко,мл
1385,простокваша,г
1386,протеин сывороточный,г
1387,прошутто,г
1388,пряники,г
1389,пряничные специи,г
1390,пряности,г
1391,псиллиум,г
1392,птитим,г
1393,пудинг,г
1394,пудинг ванильный,г
1395,пудинг ванильный инстант,упаковка
1396,пудинг карамельный,г
1397,пшеница,г
1398,пшеничная крупа,г
1399,пшеничная мука,г
1400,пшеничная мука цельнозерновая,г
1401,пшеничные зародыши,стакан
1402,пшеничные отруби,г
1403,пшеничные ростки,г
1404,пшеничные хлопья,г
1405,пшенные хлопья,ст. л.
1406,пшено,г
1407,пыльца цветочная,г
1408,пюре,по вкусу
1409,радиккио,шт.
1410,разрыхлитель,г
1411,раки,шт.
1412,раковые шейки,г
1413,раковые шейки в рассоле,г
1414,рамбутан,г
1415,рапаны,г
1416,рапсовое масло,по вкусу
1417,рассол,г
1418,рассол от каперсов,ст. л.
1419,рассол от оливок,ст. л.
1420,растительное масло,г
1421,растительное масло для жарки,г
1422,растительное масло нерафинированное,стакан
1423,растительное масло рафинированное,г
1424,растительное молоко,стакан
1425,ревень,г
1426,реган,веточка
1427,редис,г
1428,редька,г
1429,редька белая,шт.
1430,редька зеленая,шт.
1431,редька черная,шт.
1432,репа,г
1433,репа белая,шт.
1434,ржаная закваска,г
1435,ржаная закваска густая,г
1436,ржаная мука,г
1437,ржаные отруби,г
1438,ригатони,г
1439,рикотта,г
1440,рикотта твердая,г
1441,рис,г
1442,рис арборио,г
1443,рис басмати,г
1444,рис бурый,г
1445,рис бурый и дикий смесь,г
1446,рис вареный,г
1447,рис виола,г
1448,рис девзира,г
1449,рис дикий,г
1450,рис дикий и золотистый смесь,г
1451,рис длиннозерный,г
1452,рис длиннозерный золотистый,г
1453,рис для плова,г
1454,рис для пудинга,г
1455,рис для ризотто,г
1456,рис для суши,г
1457,рис жасминовый,г
1458,рис золотистый,г
1459,рис индика,г
1460,рис италика,г
1461,рис карнароли,г
1462,рис красный,г
1463,рис круглозерный,г
1464,рис кубанский,г
1465,рисовая бумага,г
1466,рисовая лапша,г
1467,рисовая мука,г
1468,рисовое вино,ч. л.
1469,рисовые хлопья,г
1470,рисовые шарики воздушные,г
1471,рисовый крахмал,ст. л.
1472,рисовый уксус,по вкусу
1473,рис пропаренный,г
1474,рис пропаренный и дикий смесь,г
1475,рис японика,г
1476,рожь,г
1477,розмарин,шт.
1478,розмарин сушеный,по вкусу
1479,розовая вода,г
1480,розовые бутоны сушеные,г
1481,розовые лепестки,г
1482,розы,г
1483,рокфор,г
1484,ром,бутылка
1485,ромашка сушеная,г
1486,ромовый экстракт,ч. л.
1487,ром темный,г
1488,ростбиф,г
1489,рукола,г
1490,рулька,по вкусу
1491,рыба,г
1492,рыба белая,г
1493,рыба белая филе,г
1494,рыба консервированная,банка
1495,рыба копченая,г
1496,рыба копченая филе,г
1497,рыба красная,г
1498,рыба красная соленая,г
1499,рыба красная филе,г
1500,рыба-меч,г
1501,рыба морская,г
1502,рыба солнечник филе,шт.
1503,рыба-соль,тушка
1504,рыбное филе,г
1505,рыбные консервы,г
1506,рыбные кости,г
1507,"рыбные обрезки, головы, плавники",по вкусу
1508,рыбный бульон,г
1509,рыбный соус,г
1510,рыбный соус Nam Pla,г
1511,рыбный соус тайский,г
1512,рыбный фарш,г
1513,рябина черноплодная,г
1514,рябчик,г
1515,ряженка,г
1516,ряженка 4%,г
1517,сайда,г
1518,сайда филе,г
1519,сайра,г
1520,сайра консервированная,банка
1521,саке,ст. л.
1522,салака,г
1523,салат,г
1524,салат айсберг,г
1525,салат китайский,г
1526,салат корн,пучок
1527,салат кочанный,г
1528,салат кучерявый,г
1529,салат листовой,г
1530,салатный микс,г
1531,салат романо,г
1532,салат фриссе,г
1533,сало,г
1534,сало копченое в перце,г
1535,сало копченое с мясными прослойками,г
1536,сало с мясными прослойками,г
1537,сальник,г
1538,сальса,г
1539,сальса верде,ч. л.
1540,салями,г
1541,салями итальянская,г
1542,сардельки,г
1543,сардельки копченые,г
1544,сардинки маленькие,шт.
1545,сардины,г
1546,сардины в масле,банка
1547,сахар,г
1548,сахар ванильный,г
1549,сахар демерара,г
1550,сахар жемчужный,г
1551,сахар коричневый,г
1552,сахар коричневый крупнокристаллический,г
1553,сахар мусковадо,горсть
1554,сахарная пудра,г
1555,сахарная пудра апельсиновая,г
1556,сахарная пудра ванильная,г
1557,сахарные жемчужинки,г
1558,сахарные кондитерские украшения,горсть
1559,сахарный песок,г
1560,сахарный песок крупный,г
1561,сахарный песок мелкий,г
1562,сахарный сироп,г
1563,сахар пальмовый,г
1564,сахар-рафинад,г
1565,сахар-рафинад с корицей,г
1566,сахар тростниковый,г
1567,сванская соль,г
1568,свекла,г
1569,свекла вареная,г
1570,свекольная ботва,г
1571,свекольные листья,г
1572,свиная вырезка,г
1573,свиная голова,г
1574,свиная грудинка,г
1575,свиная корейка,г
1576,свиная корейка копченая,г
1577,свиная корейка на кости,г
1578,свиная лопатка варено-копченая,г
1579,свиная мякоть,г
1580,свиная пашина,кг
1581,свиная печень,г
1582,свиная рулька,по вкусу
1583,свиная рулька варено-копченая,г
1584,свиная рулька копченая,г
1585,свиная шейка,кусок
1586,свинина,г
1587,свинина вареная,г
1588,свинина нежирная,г
1589,свинина с жирком,г
1590,свиное сердце,г
1591,свиное филе,г
1592,свиной подчеревок,г
1593,свиной фарш,г
1594,свиной язык,г
1595,свиные котлеты на косточке,шт.
1596,свиные легкие,г
1597,свиные ножки,г
1598,свиные отбивные,г
1599,свиные отбивные на косточке,г
1600,свиные ребра,г
1601,свиные уши,шт.
1602,свиные щечки,шт.
1603,свити,г
1604,сельдерей,г
1605,сельдерей зелень,г
1606,сельдерей корень,г
1607,сельдерей корень сушеный,по вкусу
1608,сельдерейная соль,г
1609,сельдерей семена,ч. л.
1610,сельдерей стебли,г
1611,сельдь,г
1612,сельдь слабосоленая,г
1613,сельдь соленая,шт.
1614,сельдь филе,г
1615,семга,г
1616,семга копченая,г
1617,семга свежая,г
1618,семга соленая,г
1619,семга филе на коже,г
1620,семечки,г
1621,семечки смесь,ст. л.
1622,семолина,г
1623,сервелат варено-копченый,г
1624,сибас,г
1625,сидр,г
1626,сироп,г
1627,сироп от консервированных груш,г
1628,сироп от консервированных персиков,ст. л.
1629,сироп топинамбура,стакан
1630,скумбрия,по вкусу
1631,скумбрия свежая,г
1632,скумбрия филе,г
1633,скумбрия холодного копчения,г
1634,сливки,упаковка
1635,сливки 10-20%,г
1636,сливки 15%,г
1637,сливки 20%,г
1638,сливки 33-35%,г
1639,сливки жирные,г
1640,сливки кондитерские,г
1641,сливовая паста,г
1642,сливовое варенье,г
1643,сливовое вино,г
1644,сливовый джем,г
1645,сливовый ликер,ст. л.
1646,сливовый соус,г
1647,сливочное масло,г
1648,сливы,кг
1649,сливы замороженные,г
1650,смалец,г
1651,смесь для кекса,шт.
1652,смесь для оладий,г
1653,смесь для хлеба 8 злаков,г
1654,сметана,г
1655,сметана 10%,г
1656,сметана 15%,ч. л.
1657,сметана 18%,г
1658,сметана 20%,г
1659,сметана 25%,г
1660,сметана 30%,г
1661,сметана 35%,г
1662,сметана жирная,г
1663,сметана нежирная,г
1664,сметана некислая,г
1665,смородина сушеная,г
1666,смородиновые листья,г
1667,сморчки сухие,г
1668,снежок,л
1669,сныть,г
1670,сода,г
1671,соевая мука,г
1672,соевое масло,г
1673,соевое молоко,г
1674,соевые ростки,г
1675,соевый соус,г
1676,сок,г
1677,сок из красных апельсинов,мл
1678,сок мультивитаминный,мл
1679,сок юзу,мл
1680,солод,ч. л.
1681,солод жидкий,г
1682,солодовый экстракт,г
1683,солод темный,г
1684,соломка,г
1685,соль,г
1686,соль гималайская,г
1687,соль крупного помола,г
1688,соль морская,г
1689,сом филе,г
1690,сосиски,г
1691,сосиски из куриного фарша,шт.
1692,сосиски копченые,г
1693,соус,г
1694,соус black bean,ст. л.
1695,соус sambal oelek,ч. л.
1696,соус барбекю,г
1697,соус краснодарский,г
1698,соус красный острый,г
1699,соус мирин,по вкусу
1700,соус наршараб,г
1701,соус острый,г
1702,соус песто,по вкусу
1703,соус сацебели,г
1704,соус табаско,капля
1705,соус терияки,г
1706,соус ткемали,стакан
1707,соус ткемали благородный,г
1708,соус ткемали ранний,ст. л.
1709,соус устричный,ч. л.
1710,соус чили,г
1711,соус чили сладкий,ч. л.
1712,соус экзотический,г
1713,соя,г
1714,спагетти,г
1715,спагетти № 3,г
1716,спагетти № 5,г
1717,спагетти лунги,г
1718,спаржа,кг
1719,спаржа белая,г
1720,спаржа зеленая,г
1721,спаржа молодая,г
1722,спек,г
1723,спельта,стакан
1724,спельтовая (полбяная) мука,г
1725,специи,г
1726,спирт,г
1727,спирулина порошок,г
1728,спред,г
1729,ставрида,г
1730,стейк семги,шт.
1731,стейк семги,г
1732,стеклянная лапша,г
1733,страчателла,г
1734,судак,г
1735,судак филе,г
1736,судак филе на коже,г
1737,сулугуни,г
1738,сулугуни копченый,г
1739,сумах,г
1740,суповой набор,г
1741,сухари,по вкусу
1742,сухари белые,г
1743,сухари молотые,г
1744,сухари панировочные,г
1745,сухари ржаные,г
1746,сухарная крошка,г
1747,сухофрукты,г
1748,сухофрукты тропические,по вкусу
1749,сушки,г
1750,сыворотка,г
1751,сыр,г
1752,сыр tete de moine,г
1753,сыр Австрия блю,г
1754,сыр адыгейский,г
1755,сыр бри,г
1756,сыр буко,г
1757,сыр гауда,г
1758,сыр гойя,г
1759,сыр голландский,г
1760,сыр голубой,г
1761,сыр гравьера,г
1762,сыр джугас,г
1763,сыр домашний,г
1764,сыр дорблю,г
1765,сыр имеретинский,г
1766,сыр кефалотири,г
1767,сырки творожные,г
1768,сыр козий мягкий,г
1769,сыр козий твердый,г
1770,сыр колбасный,г
1771,сыр копченый,г
1772,сыр коттедж,г
1773,сыр Маскарпоне,г
1774,сыр мраморный,г
1775,сыр мягкий,по вкусу
1776,сыр овечий,г
1777,сыр панир,г
1778,сыр пеше миньон,г
1779,сыр плавленый,г
1780,сыр плавленый шоколадный,г
1781,сыр пластинками,г
1782,сыр полутвердый,г
1783,сыр провола,г
1784,сыр российский,г
1785,сыр скаморца,г
1786,сыр скаморца копченый,г
1787,сыр сливочный,г
1788,сыр с плесенью,г
1789,сыр с плесенью мягкий,г
1790,сыр твердый,г
1791,сыр филадельфия,г
1792,сыр фонтина,г
1793,сыр хаварти,г
1794,сыр швейцарский,г
1795,сычужный фермент,ч. л.
1796,таледжо,г
1797,тальолини,г
1798,тальятелле,г
1799,тальятелле-гнезда,шт.
1800,тамаринд,шт.
1801,тамариндовая паста,ч. л.
1802,тапиока,г
1803,тарталетки,по вкусу
1804,тартар,ст. л.
1805,тархун,г
1806,творог,г
1807,творог 18%,г
1808,творог 2%,г
1809,творог 5%,г
1810,творог 9%,г
1811,творог жирный,г
1812,творог зерненый,г
1813,творог обезжиренный,г
1814,творожная масса,г
1815,творожная паста,г
1816,творожный сыр,г
1817,творожный сыр соленый,г
1818,творожок клубничный,г
1819,текила,стакан
1820,телятина,по вкусу
1821,телятина вареная,г
1822,телячий фарш,г
1823,телячьи отбивные на косточке,шт.
1824,телячьи шницели,шт.
1825,телячьи эскалопы,г
1826,телячья вырезка,г
1827,телячья печень,г
1828,телячья щека,шт.
1829,тесто бездрожжевое,г
1830,тесто готовое,г
1831,тесто для вонтонов,г
1832,тесто для пиццы,шт.
1833,тесто дрожжевое,по вкусу
1834,тесто катаифи,г
1835,тесто макаронное,г
1836,тесто макаронное для лазаньи,г
1837,тесто пельменное,г
1838,тесто песочное,по вкусу
1839,тесто пресное,г
1840,тесто пряничное,г
1841,тесто слоеное,г
1842,тесто слоеное бездрожжевое,по вкусу
1843,тесто слоеное дрожжевое,кг
1844,тесто фило,г
1845,тилапия,г
1846,тилапия филе,г
1847,тильзитер,г
1848,тимьян,горсть
1849,тимьян лимонный,веточка
1850,тимьян свежий,по вкусу
1851,тимьян сушеный,г
1852,ткемали,г
1853,тмин,г
1854,тмин молотый,г
1855,томатная паста,г
1856,томатное пюре,г
1857,томатный концентрат,г
1858,томатный порошок,г
1859,томатный сок,г
1860,томатный соус,г
1861,томатный соус итальянский,г
1862,томатный соус острый,г
1863,томатный соус с базиликом,г
1864,тоник,бутылка
1865,топинамбур,г
1866,топленое масло,г
1867,тортильи,по вкусу
1868,тортильони,г
1869,тофу,г
1870,травы ароматные,г
1871,травы пряные с перцем,ч. л.
1872,травы сухие,г
1873,треска,г
1874,треска печень,г
1875,треска филе,г
1876,трюфель,г
1877,трюфельная крошка,г
1878,трюфельное масло,ст. л.
1879,трюфель черный,шт.
1880,тунец,по вкусу
1881,тунец консервированный,г
1882,тунец филе,г
1883,тушенка,г
1884,тыква,г
1885,тыквенное масло,шт.
1886,тыквенное пюре,г
1887,тыквенные семечки,г
1888,тюлька свежая,г
1889,угорь,г
1890,угорь копченый,г
1891,угурт,г
1892,укроп,г
1893,укропное семя,ч. л.
1894,укроп свежий,г
1895,укроп сушеный,г
1896,уксус,г
1897,уксус 9%,г
1898,уксус из сидра,ст. л.
1899,уксусная эссенция,г
1900,уксус столовый,г
1901,улитки,г
1902,улитки виноградные,шт.
1903,урюк,г
1904,устрицы,г
1905,утиная грудка,г
1906,утиная печень,г
1907,утиное филе,г
1908,утиные бедрышки,г
1909,утиные ножки,по вкусу
1910,утка,по вкусу
1911,утка печеная,г
1912,утка тушка,тушка
1913,уцхо-сунели,г
1914,фазан,г
1915,фарш (баранина и говядина),г
1916,фарш (свинина и курица),г
1917,фасоль,г
1918,фасоль белая,г
1919,фасоль белая консервированная,г
1920,фасоль белая лима,г
1921,фасоль зеленая стручковая,г
1922,фасоль кенийская,горсть
1923,фасоль кидни красная,г
1924,фасоль консервированная,г
1925,фасоль красная,г
1926,фасоль красная вареная,стакан
1927,фасоль красная консервированная,г
1928,фасоль молодая замороженная,г
1929,фасоль пинто,г
1930,фасоль спаржевая вареная,г
1931,фасоль стручковая,г
1932,фасоль стручковая замороженная,г
1933,фасоль стручковая консервированная,г
1934,фасоль черный глаз,г
1935,фейхоа,г
1936,фенхель,г
1937,фенхель семена,г
1938,фенхель семена молотые,г
1939,фестонате,г
1940,фета,г
1941,фетаки,г
1942,фетакса,г
1943,феттучине,г
1944,фиалки засахаренные,шт.
1945,фиалковый сироп,г
1946,физалис,по вкусу
1947,филе красного окуня,шт.
1948,филе лосося,г
1949,филе палтуса,шт.
1950,финики,г
1951,финики без косточек,стакан
1952,финики иранские,г
1953,финики иранские без косточек,шт.
1954,фисташки,г
1955,фисташки очищенные,г
1956,фисташки очищенные несоленые,горсть
1957,фисташки рубленые,г
1958,фисташковая мука,г
1959,фисташковая паста,г
1960,фисташковое масло,г
1961,фокачча,по вкусу
1962,форель,г
1963,форель вареная,г
1964,форель горячего копчения,г
1965,форель озерная свежая,шт.
1966,форель слабосоленая,г
1967,форель стейки,шт.
1968,форель филе,г
1969,форель холодного копчения,г
1970,фрикадельки,г
1971,фрукт дракона,шт.
1972,фруктовый сироп,г
1973,фруктовый сок,г
1974,фруктовый сок без сахара,стакан
1975,фруктоза,г
1976,фрукты,г
1977,фрукты консервированные,г
1978,фундук,г
1979,фундучная мука,г
1980,фунчоза,г
1981,халва,г
1982,халва ванильная,г
1983,халва подсолнечная,г
1984,халуми,г
1985,хамон,г
1986,хек,г
1987,хек филе,г
1988,херес,стакан
1989,хересный уксус,ч. л.
1990,хлеб,г
1991,хлеб 7 злаков,батон
1992,хлеб белый,г
1993,хлеб белый сухой,г
1994,хлеб бородинский,кусок
1995,хлеб датский ржаной,г
1996,хлеб для сэндвичей,г
1997,хлебная крошка,г
1998,хлеб ржаной,г
1999,хлеб серый,г
2000,хлеб с кунжутом,кусок
2001,хлеб цельнозерновой,г
2002,хлебцы пшенично-ржаные цельнозерновые,г
2003,хлопья 4 злака,г
2004,хлопья 5 злаков,г
2005,хлопья 7 злаков,ст. л.
2006,хлопья быстрого приготовления,стакан
2007,хлорид кальция,г
2008,хмели-сунели,г
2009,хмель,ст. л.
2010,хрен,г
2011,хрен протертый,г
2012,хрен со сливками,г
2013,хурма,г
2014,хурма спелая,г
2015,цесарка тушка,г
2016,цикорий,ч. л.
2017,цитроновые цукаты,горсть
2018,цитрусовые цукаты,шт.
2019,цитрусовый свежевыжатый сок,мл
2020,цукаты,г
2021,цукини,г
2022,цукини цветы,шт.
2023,цыплята,г
2024,цыплята-корнишоны,шт.
2025,чабер,г
2026,чабрец,г
2027,чабрец сушеный,г
2028,чай дарджилинг,пакетик
2029,чай жасминовый,ст. л.
2030,чай зеленый,пакетик
2031,чай копченый лапсанг сушонг,г
2032,чай красный,г
2033,чай ройбуш,ст. л.
2034,чай черный,г
2035,чай черный крупнолистовой,ч. л.
2036,чай черный со специями,пакет
2037,чай эрл грей,стакан
2038,чатни манго,г
2039,чеддер,г
2040,черемуха,г
2041,черемуховая мука,г
2042,черемша,г
2043,черешневый джем,г
2044,черешня,г
2045,черешня консервированная без косточек,ст. л.
2046,черная смородина,г
2047,черника,г
2048,черника замороженная,г
2049,чернила каракатицы,г
2050,черничный джем,стакан
2051,чернослив,г
2052,чернослив без косточек,г
2053,чернослив вяленый,г
2054,чернослив копченый без косточек,г
2055,черносмородиновое варенье,г
2056,черносмородиновый джем,г
2057,чеснок,г
2058,чеснок молодой,г
2059,чеснок сушеный,г
2060,чесночная соль,щепотка
2061,чесночное масло,по вкусу
2062,чесночный порошок,г
2063,чечевица,г
2064,чечевица вареная,ст. л.
2065,чечевица зеленая,г
2066,чечевица красная,г
2067,чечил спагетти,г
2068,чиабатта,кусок
2069,чиа семена,г
2070,чипотле молотый,щепотка
2071,чипсы,г
2072,чоризо,г
2073,шалфей,г
2074,шалфей свежий,пучок
2075,шалфей сушеный,лист
2076,шампанское,г
2077,шампанское советское,стакан
2078,шампанское сухое,ст. л.
2079,шампиньоны,по вкусу
2080,шампиньоны замороженные,г
2081,шампиньоны консервированные,г
2082,шампиньоны маринованные,г
2083,шампиньоны свежие,г
2084,шафран,г
2085,шафран имеретинский,г
2086,шафран молотый,ч. л.
2087,шафран нити,шт.
2088,шелковица,г
2089,шелковица сушеная,г
2090,шиповник,г
2091,шиповниковый сироп,г
2092,шнапс,г
2093,шнитт-лук,стебель
2094,шоколад,г
2095,шоколад белый,г
2096,шоколад горький с апельсиновой цедрой,г
2097,шоколад молочный,г
2098,шоколад мятный,г
2099,шоколадная паста,г
2100,шоколадная стружка,г
2101,шоколадное масло,г
2102,шоколадно-ореховая паста,г
2103,шоколадные горошины,г
2104,шоколадные капли,г
2105,шоколадные капли белые,г
2106,шоколадные конфеты,г
2107,шоколадные хлопья,г
2108,шоколадные шарики из готовых завтраков,горсть
2109,шоколадный ликер,г
2110,шоколадный сироп,г
2111,шоколадный соус,г
2112,шоколад полусладкий,г
2113,шоколад с орехами,г
2114,шоколад черный горький,г
2115,шоколад черный горький 70%,г
2116,шоколад черный горький 75%,ч. л.
2117,шоколад черный горький 85%,г
2118,шортенинг,стакан
2119,шпик,шт.
2120,шпик копченый,г
2121,шпинат,г
2122,шпинат замороженный,г
2123,шпинат молодой,г
2124,шпинат свежий,г
2125,шпроты,г
2126,шпроты в масле,г
2127,шрот,г
2128,щавель замороженный,г
2129,щавель свежий,веточка
2130,щука,г
2131,щука филе,г
2132,эгг-ног,стакан
2133,эдам,г
2134,эль,мл
2135,эмменталь,г
2136,эскалоп,г
2137,эстрагон,г
2138,эстрагон сушеный,веточка
2139,яблоки,г
2140,яблоки антоновка,кг
2141,яблоки гала,г
2142,яблоки голден,г
2143,яблоки гренни смит,кг
2144,яблоки зеленые,г
2145,яблоки красные,шт.
2146,яблоки моченые,шт.
2147,яблоки нетвердых сортов,г
2148,яблоки сладкие,г
2149,яблоки сушеные,г
2150,яблочная эссенция,ч. л.
2151,яблочное варенье,г
2152,яблочное повидло,г
2153,яблочное пюре,г
2154,яблочные чипсы,стакан
2155,яблочный джем,г
2156,яблочный сироп,ст. л.
2157,яблочный сок,г
2158,яблочный соус,ст. л.
2159,яблочный уксус,г
2160,ягнятина,г
2161,ягнятина кострец,г
2162,ягнятина фарш,г
2163,ягнячьи отбивные на косточке,шт.
2164,ягнячья голень нарубленная,г
2165,ягнячья корейка,г
2166,ягодное варенье,ст. л.
2167,ягодное желе,г
2168,ягодный сироп,г
2169,ягодный сок,г
2170,ягодный соус кислый,г
2171,ягоды,г
2172,ягоды вяленые,по вкусу
2173,ягоды замороженные,г
2174,ягоды лесные,г
2175,ягоды лесные замороженные,г
2176,яичные белки,г
2177,яичные желтки,г
2178,яичные желтки вареные,шт.
2179,яичные желтки крупные,г
2180,яичный меланж,г
2181,яичный порошок,ст. л.
2182,яйца куриные,г
2183,яйца куриные крупные,г
2184,яйца перепелиные,г
2185,японская крошка панко,г
2186,ячменные хлопья,г
2187,ячмень,г
2188,ячневая крупа,г
